Name	Female-1Male1Unisex0	Percentage in population	Percentage in female population	Percentage in male population
"WILLIE"	0.5138	0.2	0.097	0.302
"TERRY"	0.5908	0.196	0.08	0.311
"JEAN"	-0.8	0.175	0.315	0.035
"KELLY"	-0.6358	0.173	0.283	0.063
"ASHLEY"	-0.9117	0.159	0.303	0.014
"JOAN"	-0.949	0.157	0.306	0.008
"TRACY"	-0.6082	0.122	0.197	0.048
"ROBIN"	-0.7333	0.12	0.208	0.032
"LESLIE"	-0.3106	0.117	0.154	0.081
"BOBBY"	0.9307	0.116	0.008	0.223
"SHAWN"	0.7857	0.112	0.024	0.2
"CHRIS"	0.7828	0.111	0.024	0.197
"JAMIE"	-0.3973	0.11	0.153	0.066
"JESSE"	0.9263	0.108	0.008	0.209
"SHANNON"	-0.6279	0.107	0.175	0.04
"LEE"	0.5211	0.106	0.051	0.162
"CARMEN"	-0.8932	0.103	0.195	0.011
"KIM"	-0.7282	0.103	0.178	0.028
"FRANCIS"	0.608	0.1	0.039	0.16
"DALE"	0.84	0.1	0.016	0.184
"LYNN"	-0.5607	0.087	0.135	0.038
"MARION"	-0.4353	0.085	0.122	0.048
"DANA"	-0.4878	0.082	0.122	0.042
"JESSIE"	-0.2025	0.082	0.098	0.065
"EDDIE"	0.8581	0.077	0.011	0.144
"STACY"	-0.7536	0.069	0.121	0.017
"JACKIE"	-0.3534	0.067	0.09	0.043
"ANGEL"	0.4017	0.059	0.035	0.082
"STACEY"	-0.8036	0.056	0.101	0.011
"COURTNEY"	-0.6381	0.052	0.086	0.019
"JOHNNIE"	0.1429	0.045	0.039	0.052
"BILLIE"	-0.6047	0.043	0.069	0.017
"GUADALUPE"	-0.3882	0.042	0.059	0.026
"CASEY"	0.3012	0.042	0.029	0.054
"JAIME"	0.3415	0.041	0.027	0.055
"ADRIAN"	0.7692	0.039	0.009	0.069
"JIMMIE"	0.5467	0.038	0.017	0.058
"BOBBIE"	-0.7333	0.037	0.065	0.01
"CHRISTIAN"	0.7333	0.037	0.01	0.065
"JAN"	-0.4571	0.035	0.051	0.019
"KERRY"	0.0746	0.034	0.031	0.036
"JORDAN"	0.6471	0.034	0.012	0.056
"RENE"	0.5	0.032	0.016	0.048
"PAT"	-0.2903	0.031	0.04	0.022
"JODY"	-0.2258	0.031	0.038	0.024
"FRANKIE"	0.0222	0.022	0.022	0.023
"ALEXIS"	-0.4634	0.02	0.03	0.011
"MORGAN"	-0.1	0.02	0.022	0.018
"LAVERNE"	-0.5789	0.019	0.03	0.008
"OLLIE"	-0.4595	0.018	0.027	0.01
"SHELBY"	-0.3889	0.018	0.025	0.011
"TAYLOR"	0.3333	0.018	0.012	0.024
"ROBBIE"	-0.0303	0.017	0.017	0.016
"TOMMIE"	0.2121	0.017	0.013	0.02
"MERLE"	0.3125	0.016	0.011	0.021
"CLEO"	-0.4	0.015	0.021	0.009
"DOMINIQUE"	-0.3333	0.012	0.016	0.008
"GALE"	-0.3333	0.012	0.016	0.008
"KRIS"	0	0.011	0.011	0.011
"CAREY"	0.1818	0.011	0.009	0.013
